id_client,recency,customer_age,total_purchases,total_spent,avg_order_value,std_order_value,unique_products,purchase_velocity,avg_gap_days,spend_calling_offers,spend_recharge,share_calling_offers,share_recharge,cluster,PC1,PC2,cluster_name
15735920,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15735936,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15735986,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15736016,720,730,2,4.0,2.0,0.0,1,8.571428571428571,7.0,0.0,4.0,0.0,1.0,1,-0.6853264186942533,-0.6583070095514708,Calls - One-Time Customers
15736376,671,730,6,12.0,2.0,0.0,1,3.050847457627119,11.8,0.0,12.0,0.0,1.0,1,0.06363757761363438,-0.6730529101983863,Calls - One-Time Customers
15736381,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15736443,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15736663,611,730,4,11.0,2.75,1.5,1,1.0084033613445378,39.666666666666664,0.0,11.0,0.0,1.0,1,0.22086316516115193,-0.6987182936546105,Calls - One-Time Customers
15736881,294,730,1,2.6,2.6,0.0,1,30.0,0.0,0.0,2.6,0.0,1.0,1,-0.5189838935507575,-0.7145654133715684,Calls - One-Time Customers
15736882,653,730,1,5.0,5.0,0.0,1,30.0,0.0,0.0,5.0,0.0,1.0,1,-0.8692663708958751,-0.6868618283980894,Calls - One-Time Customers
15737157,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15737191,110,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-0.29911664101482277,-0.7357142262339046,Calls - One-Time Customers
15737271,730,730,1,10.0,10.0,0.0,1,30.0,0.0,0.0,10.0,0.0,1.0,1,-0.6572706974688274,-0.7303915627973289,Calls - One-Time Customers
15737273,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15737441,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15737585,727,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1651858472130963,-0.6426050532482034,Calls - One-Time Customers
15737677,331,730,3,7.800000000000001,2.6,0.0,1,1.125,40.0,0.0,7.800000000000001,0.0,1.0,1,0.27783866116043837,-0.718027649564471,Calls - One-Time Customers
15737701,287,730,3,17.0,5.666666666666667,4.041451884327381,1,0.7758620689655172,58.0,0.0,17.0,0.0,1.0,0,1.1405009635097458,-0.8131502375760757,Calls - At-Risk Customers
15737882,319,730,2,4.0,2.0,0.0,1,0.3973509933774835,151.0,0.0,4.0,0.0,1.0,0,0.45368542296776937,-0.6528606442476336,Calls - At-Risk Customers
15737997,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
15738168,475,730,2,7.0,3.5,2.1213203435596424,2,0.23529411764705882,255.0,5.0,2.0,0.7142857142857143,0.2857142857142857,0,1.40963290565561,3.1732815198125652,Calls - At-Risk Customers
15738290,730,730,1,2.0,2.0,0.0,1,30.0,0.0,0.0,2.0,0.0,1.0,1,-1.1693968806305919,-0.6421523344168304,Calls - One-Time Customers
